2018-08-06 11:18:16.5117 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList(".Net","groupNet","K. Kozak","SoftServe","02/13/2018","Expert") 
2018-08-06 11:18:16.5286 | Debug | Passed 
2018-08-06 11:18:21.6292 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 11:18:21.6411 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("ISTQB","groupISTQB","O. Reuta","OpenGroup","11/19/2018","Expertik") 
2018-08-06 11:18:21.6601 | Debug | Passed 
2018-08-06 11:18:27.4110 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 11:18:27.4240 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("iOS","groupIOS","D. Petin","SoftServe","06/11/2012","Expertok") 
2018-08-06 11:18:27.4389 | Debug | Passed 
2018-08-06 11:18:32.9548 | Debug | CaesarTests.TC_1_04_05 
2018-08-06 11:18:32.9728 | Debug | Test_NewGroupCreate_GroupAppearedInGroupsList("UX","groupUX","P. Kucher","OpenGroup","01/05/2011","Testwoman") 
